sample,DGCCA_16,DGCCA_28,DGCCA_31,DGCCA_38,DGCCA_71,DGCCA_82,DGCCA_88
TCGA-A8-A07F-01,-0.017853083,0.047541954,-0.046582136,-0.042111352,-0.037547134,0.0033480003,0.007848385
TCGA-A8-A07G-01,-0.016100476,0.0075668953,0.03402935,0.04869716,-0.062944025,0.042580575,0.018694056
TCGA-A8-A07I-01,0.023296658,0.0011215555,0.05269087,0.0058867186,0.038095906,0.034448605,-0.059345584
TCGA-A8-A07J-01,0.021668717,-0.027283952,-0.0026354373,0.053908758,-0.047595363,0.009384144,-0.05300934
TCGA-A8-A07L-01,0.012013933,0.03140834,0.011952231,-0.019599784,-0.03581176,0.06384815,-0.042400926
TCGA-A8-A07O-01,-0.009021337,-0.025410369,-0.03683661,-0.036939118,0.032614455,-0.034083996,0.000564788
TCGA-A8-A07P-01,0.017240372,-0.009847164,-0.012194737,-0.024156652,0.008627679,-0.013064338,-0.11032398
TCGA-A8-A07R-01,-0.012185965,-0.022236021,-0.020142686,0.0063518286,0.060845282,-0.032835815,-0.019227874
TCGA-A8-A07S-01,0.046571616,-0.0045486805,0.0016311408,-0.030339632,0.005457376,-0.032816615,0.009741685
TCGA-A8-A07U-01,0.02150221,-0.005614383,-0.016769236,-0.018700387,0.0016691154,-0.04122419,0.040919848
TCGA-A8-A07W-01,-0.004157014,-0.019280283,-0.019366648,0.04039262,-0.002412648,-0.029068524,-0.014942129
TCGA-A8-A07Z-01,-0.007864982,-0.09082176,-0.0032838313,-0.012433961,-0.016073972,-0.048655592,-0.033616073
TCGA-A8-A081-01,0.011479682,0.07733107,-0.019134022,-0.0059692506,-0.013361627,0.0013236818,-0.0076456
TCGA-A8-A082-01,-0.049981505,0.007931432,0.042017844,7.098727e-05,0.064268716,-0.004629057,0.08049733
TCGA-A8-A083-01,0.009744282,-0.0012777094,-0.010334556,-0.08242701,-0.04381356,0.031446815,0.05700575
TCGA-A8-A084-01,-0.0111041125,0.052723538,0.02377018,0.025090756,0.011114452,0.073463336,-0.026530007
TCGA-A8-A085-01,0.03135645,-0.015800428,0.045682803,0.0016801232,0.0014082715,0.029783748,-0.069482684
TCGA-A8-A086-01,0.010809431,-0.017496109,0.049389742,0.006974917,-0.040317144,0.007702957,0.014091012
TCGA-A8-A08A-01,0.0065907165,0.0024742528,0.0069404305,0.04081448,0.04214027,0.0089811,0.0058617666
TCGA-A8-A08B-01,0.032120626,0.0235048,0.00047048228,-0.05353821,0.004849297,-0.014657501,-0.043300863
TCGA-A8-A08C-01,0.010781911,-0.024125,-0.031328168,-0.004679119,-0.014269284,0.009343136,-0.024664603
TCGA-A8-A08F-01,-0.006387854,0.0028776242,-0.02181853,-0.0062330244,-0.07149695,-0.006457104,0.03893865
TCGA-A8-A08G-01,0.017619705,-0.0007858714,-0.056090243,0.042246807,-0.014129007,-0.0086654965,-0.069047526
TCGA-A8-A08H-01,0.015085002,-0.02564963,-0.007748104,-0.09137341,0.030902106,0.0653132,-0.0043939175
TCGA-A8-A08I-01,-0.017787341,0.034875806,-0.011181514,-0.0109082125,-0.028812557,0.005963156,0.011577582
TCGA-A8-A08J-01,-0.0221238,0.008537125,0.0059045963,-0.011796707,0.11218411,-0.060779378,0.054680593
TCGA-A8-A08L-01,-0.009906141,-0.02065177,0.029146716,0.0044535063,-0.016526682,0.023168892,0.10564259
TCGA-A8-A08O-01,-0.018500458,-0.005664563,-0.022997811,0.02713748,-0.09916965,-0.0592821,-0.03685692
TCGA-A8-A08P-01,-0.024266044,-0.04579017,-0.02656854,0.08391043,0.003671112,-0.019519623,-0.01979559
TCGA-A8-A08R-01,-0.0100587625,0.02301328,-0.004749393,-0.04021036,0.0026457338,0.045614146,-0.009857551
TCGA-A8-A08S-01,-0.010756917,-0.06953458,-0.015109822,-0.0004731086,-0.080504484,3.5850797e-05,-0.03203588
